Round,Date,Colony,Treatment,New Egg batches,Colony Mass 
Round1,23,col1,c,4,
Round1,23,col2,db,0,
Round1,23,col3,db,3,
Round1,23,col4,nb,2,
Round1,23,col5,c,3,
Round1,23,col6,nb,4,
Round1,23,col7,nb,2,
Round1,23,col8,db,2,
Round1,24,col1,c,6,1282
Round1,24,col2,db,1,1573
Round1,24,col3,db,1,1445
Round1,24,col4,nb,0,884
Round1,24,col5,c,5,1300
Round1,24,col6,nb,4,927
Round1,24,col7,nb,5,841
Round1,24,col8,db,4,1441
Round1,25,col1,c,5,
Round1,25,col2,db,3,
Round1,25,col3,db,6,
Round1,25,col4,nb,0,
Round1,25,col5,c,6,
Round1,25,col6,nb,5,
Round1,25,col7,nb,4,
Round1,25,col8,db,9,
Round1,26,col1,c,4,1353
Round1,26,col2,db,3,1625
Round1,26,col3,db,5,1509
Round1,26,col4,nb,1,917
Round1,26,col5,c,4,1349
Round1,26,col6,nb,3,951
Round1,26,col7,nb,4,865
Round1,26,col8,db,6,1507
Round1,27,col1,c,,
Round1,27,col2,db,,
Round1,27,col3,db,,
Round1,27,col4,nb,,
Round1,27,col5,c,,
Round1,27,col6,nb,,
Round1,27,col7,nb,,
Round1,27,col8,db,,
Round2,0,col9,db,,663
Round2,0,col10,c,,668
Round2,0,col11,c,,670
Round2,0,col12,nb,,672
Round2,0,col13,nb,,670
Round2,0,col14,c,,676
Round2,0,col15,db,,677
Round2,0,col16,c,,676
Round2,1,col9,db,,705
Round2,1,col10,c,,683
Round2,1,col11,c,,673
Round2,1,col12,nb,,632
Round2,1,col13,nb,,638
Round2,1,col14,c,,681
Round2,1,col15,db,,730
Round2,1,col16,c,,680
Round2,2,col9,db,2,720
Round2,2,col10,c,0,692
Round2,2,col11,c,2,685
Round2,2,col12,nb,1,634
Round2,2,col13,nb,5,637
Round2,2,col14,c,2,691
Round2,2,col15,db,3,754
Round2,2,col16,c,2,696
Round2,3,col9,db,4,
Round2,3,col10,c,2,
Round2,3,col11,c,2,
Round2,3,col12,nb,4,
Round2,3,col13,nb,2,
Round2,3,col14,c,2,
Round2,3,col15,db,2,
Round2,3,col16,c,2,
Round2,4,col9,db,2,747
Round2,4,col10,c,4,729
Round2,4,col11,c,3,713
Round2,4,col12,nb,2,650
Round2,4,col13,nb,4,650
Round2,4,col14,c,4,716
Round2,4,col15,db,4,784
Round2,4,col16,c,0,733
Round2,5,col9,db,4,
Round2,5,col10,c,4,
Round2,5,col11,c,3,
Round2,5,col12,nb,3,
Round2,5,col13,nb,2,
Round2,5,col14,c,2,
Round2,5,col15,db,3,
Round2,5,col16,c,3,
Round2,6,col9,db,3,764
Round2,6,col10,c,3,750
Round2,6,col11,c,1,735
Round2,6,col12,nb,3,655
Round2,6,col13,nb,3,656
Round2,6,col14,c,2,730
Round2,6,col15,db,0,803
Round2,6,col16,c,4,753
Round2,7,col9,db,4,
Round2,7,col10,c,2,
Round2,7,col11,c,4,
Round2,7,col12,nb,5,
Round2,7,col13,nb,3,
Round2,7,col14,c,4,
Round2,7,col15,db,5,
Round2,7,col16,c,3,
Round2,8,col9,db,2,789
Round2,8,col10,c,0,770
Round2,8,col11,c,3,753
Round2,8,col12,nb,2,656
Round2,8,col13,nb,7,661
Round2,8,col14,c,2,754
Round2,8,col15,db,5,828
Round2,8,col16,c,3,774
Round2,9,col9,db,4,
Round2,9,col10,c,4,
Round2,9,col11,c,3,
Round2,9,col12,nb,4,
Round2,9,col13,nb,8,
Round2,9,col14,c,3,
Round2,9,col15,db,3,
Round2,9,col16,c,2,
Round2,10,col9,db,3,812
Round2,10,col10,c,3,800
Round2,10,col11,c,2,770
Round2,10,col12,nb,4,663
Round2,10,col13,nb,6,668
Round2,10,col14,c,5,790
Round2,10,col15,db,4,865
Round2,10,col16,c,3,802
Round2,11,col9,db,4,
Round2,11,col10,c,3,
Round2,11,col11,c,3,
Round2,11,col12,nb,2,
Round2,11,col13,nb,2,
Round2,11,col14,c,2,
Round2,11,col15,db,2,
Round2,11,col16,c,2,
Round2,12,col9,db,4,858
Round2,12,col10,c,3,820
Round2,12,col11,c,4,795
Round2,12,col12,nb,2,674
Round2,12,col13,nb,4,685
Round2,12,col14,c,2,809
Round2,12,col15,db,3,907
Round2,12,col16,c,3,834
Round2,13,col9,db,3,
Round2,13,col10,c,3,
Round2,13,col11,c,4,
Round2,13,col12,nb,1,
Round2,13,col13,nb,3,
Round2,13,col14,c,2,
Round2,13,col15,db,0,
Round2,13,col16,c,3,
Round2,14,col9,db,4,883
Round2,14,col10,c,3,846
Round2,14,col11,c,4,810
Round2,14,col12,nb,0,677
Round2,14,col13,nb,2,694
Round2,14,col14,c,2,835
Round2,14,col15,db,2,924
Round2,14,col16,c,3,864
Round2,15,col9,db,2,
Round2,15,col10,c,4,
Round2,15,col11,c,4,
Round2,15,col12,nb,1,
Round2,15,col13,nb,4,
Round2,15,col14,c,4,
Round2,15,col15,db,3,
Round2,15,col16,c,4,
Round2,16,col9,db,2,924
Round2,16,col10,c,4,882
Round2,16,col11,c,4,843
Round2,16,col12,nb,3,685
Round2,16,col13,nb,2,703
Round2,16,col14,c,2,867
Round2,16,col15,db,2,967
Round2,16,col16,c,2,888
Round2,17,col9,db,3,
Round2,17,col10,c,3,
Round2,17,col11,c,3,
Round2,17,col12,nb,2,
Round2,17,col13,nb,5,
Round2,17,col14,c,1,
Round2,17,col15,db,2,
Round2,17,col16,c,3,
Round2,18,col9,db,5,957
Round2,18,col10,c,4,911
Round2,18,col11,c,3,874
Round2,18,col12,nb,2,692
Round2,18,col13,nb,4,717
Round2,18,col14,c,2,895
Round2,18,col15,db,4,1019
Round2,18,col16,c,3,927
Round2,19,col9,db,2,
Round2,19,col10,c,4,
Round2,19,col11,c,4,
Round2,19,col12,nb,4,
Round2,19,col13,nb,2,
Round2,19,col14,c,1,
Round2,19,col15,db,4,
Round2,19,col16,c,1,
Round2,20,col9,db,3,998
Round2,20,col10,c,3,946
Round2,20,col11,c,2,915
Round2,20,col12,nb,3,700
Round2,20,col13,nb,4,729
Round2,20,col14,c,3,922
Round2,20,col15,db,4,1039
Round2,20,col16,c,3,985
Round2,21,col9,db,3,
Round2,21,col10,c,4,
